participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
5a9c41f2dbdb470001eeef9c,ai,2026-07-16T15:49:30.483426+00:00,True,50,['Woman'],Librarian,Native English speaker,Higher tertiary education degree (Master's level),About once a week,C,1,24.0,B,0,10.0,C,0,29.0,C,0,78.0,B,0,99.0,A,0,92.0,B,0,67.0,B,0,37.0,D,0,79.0,C,1,32.0,B,0,84.0,C,0,55.0,2,57.17,-35.0,65.0,0.38,9.33,4.83,3.12,1,1,1,22,8,6,6,9,6,10
614b11e399369a0d52b5fbf6,ai,2026-07-16T15:56:16.672823+00:00,True,33,['Man'],Software engineer,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,81.0,C,0,100.0,D,0,89.0,D,1,100.0,B,0,100.0,D,1,100.0,D,0,92.0,C,1,74.0,D,0,63.0,B,0,92.0,D,0,67.0,C,0,76.0,3,86.17,6.89,100.0,1.25,3.83,3.83,4.62,1,0,1,15,10,10,11,12,6,12
5ca9106716aa84001725d880,ai,2026-07-16T16:06:30.100863+00:00,True,34,['Woman'],IT DIRECTOR ,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,64.0,D,1,62.0,B,0,60.0,A,0,80.0,B,0,74.0,D,1,62.0,D,0,55.0,C,1,56.0,D,0,45.0,A,0,72.0,B,0,21.0,D,1,40.0,4,57.58,-3.88,92.5,2.0,8.0,4.5,3.75,1,1,1,16,8,4,9,7,6,7
69e798083733072e5376734b,ai,2026-07-16T16:18:44.154398+00:00,True,22,['Woman'],teaching,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,A,0,99.0,A,0,98.0,A,1,95.0,A,0,95.0,B,0,97.0,D,1,93.0,D,0,87.0,B,0,87.0,D,0,96.0,C,1,97.0,B,0,97.0,C,0,98.0,3,94.92,0.11,100.0,2.0,6.17,4.17,4.38,1,1,1,15,12,7,12,9,7,9
5ea824f580b9ef228f589930,ai,2026-07-16T16:25:50.096430+00:00,True,67,['Woman'],Healthcare Manager,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,B,0,69.0,D,1,92.0,B,0,42.0,A,0,67.0,B,0,44.0,D,1,68.0,D,0,70.0,A,0,65.0,A,0,72.0,B,0,87.0,B,0,90.0,D,1,29.0,3,66.25,-4.33,100.0,2.5,10.5,3.83,4.12,1,1,1,19,9,5,9,11,4,11
673f6ffebce20832346325de,ai,2026-07-16T16:27:32.224920+00:00,True,41,['Woman'],retail worker,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,75.0,D,1,91.0,C,0,98.0,A,0,98.0,A,0,98.0,D,1,98.0,D,0,100.0,C,1,98.0,D,0,99.0,B,0,77.0,D,0,100.0,B,0,82.0,3,92.83,3.78,82.5,1.38,8.67,1.33,4.5,1,0,1,26,10,7,10,9,5,9
5ff454f2f0b5ed607169fba6,ai,2026-07-16T16:30:47.469752+00:00,True,45,['Woman'],Finance,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,1,98.0,B,0,99.0,B,0,99.0,B,0,70.0,B,0,100.0,D,1,100.0,D,0,90.0,B,0,68.0,D,0,99.0,B,0,93.0,D,0,99.0,D,1,88.0,3,91.92,4.56,100.0,3.0,7.83,5.0,4.62,1,1,1,26,10,8,11,10,8,10
6a00e5e9deafdfa23003cacb,ai,2026-07-16T16:33:52.747053+00:00,True,41,['Man'],Inspector Assistant,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,C,1,60.0,D,1,62.0,B,0,45.0,D,1,60.0,B,0,100.0,D,1,82.0,D,0,82.0,A,0,69.0,D,0,81.0,B,0,56.0,B,0,50.0,D,1,68.0,5,67.92,-2.6,85.0,1.75,8.17,3.0,3.62,1,1,1,19,8,0,6,6,2,6
69ffa808e93cf482f4829587,ai,2026-07-16T16:59:12.312594+00:00,True,43,['Man'],Physiotherapist,Native English speaker,Higher tertiary education degree (Master's level),A few times a week,B,0,63.0,D,1,57.0,B,0,79.0,A,0,63.0,B,0,70.0,A,0,68.0,D,0,64.0,A,0,56.0,D,0,68.0,C,1,66.0,B,0,60.0,D,1,58.0,3,64.33,-5.33,95.0,2.5,11.33,3.5,3.62,1,1,1,30,10,7,10,7,3,7
6a05ca3ca97a0b5ea50dd24c,ai,2026-07-17T13:40:57.212921+00:00,True,22,['Woman'],Software developer,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,B,0,80.0,D,1,67.0,D,0,83.0,D,1,49.0,B,0,82.0,A,0,92.0,B,0,77.0,B,0,94.0,D,0,85.0,B,0,91.0,C,0,89.0,D,1,81.0,3,80.83,-20.22,77.5,1.88,4.5,2.67,3.62,1,1,1,14,10,5,9,10,4,7
5f319edf7543f7087932aa98,ai,2026-07-17T13:52:11.972671+00:00,True,46,['Man'],underwriter,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,B,0,80.0,A,0,73.0,C,0,65.0,B,0,82.0,B,0,66.0,D,1,67.0,B,0,71.0,A,0,69.0,D,0,78.0,C,1,76.0,B,0,69.0,B,0,84.0,2,73.33,-2.2,77.5,2.25,6.17,2.17,3.75,1,1,1,17,12,5,12,12,2,12
