participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus,ueq_mean,tlx_mean,nfc_mean,trust_mean,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone
69ee224d4896c8720f0ed466,alternatives,2026-08-14T10:55:51.839415+00:00,True,51,['Man'],Business Owner,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,45.0,B,0,46.0,C,0,53.0,A,0,52.0,B,0,50.0,D,1,45.0,D,0,50.0,C,1,47.0,D,0,48.0,B,0,47.0,B,0,49.0,C,0,48.0,2,48.33,-2.8,77.5,0.0,8.5,4.67,3.25,1,1,1,36,6,0,0,7,0,0
6a0b2039dd72f88d56961a7c,alternatives,2026-08-14T11:10:02.774329+00:00,True,43,['Man'],Video producer,Native English speaker,Lower tertiary education degree (Bachelor's level),Less than once a month,B,0,93.0,D,1,10.0,C,0,91.0,C,0,95.0,B,0,88.0,D,1,92.0,B,0,48.0,D,0,56.0,D,0,96.0,B,0,55.0,D,0,62.0,B,0,94.0,2,73.33,-26.8,97.5,1.75,7.5,2.83,3.12,1,1,1,69,10,2,10,7,1,5
603ceb8f82d6b0a88e6cb99a,alternatives,2026-08-14T11:22:37.599262+00:00,True,55,['Woman'],operations manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,67.0,C,0,72.0,B,0,65.0,B,0,75.0,B,0,70.0,B,0,35.0,D,0,80.0,B,0,78.0,D,0,85.0,B,0,49.0,D,0,80.0,D,1,65.0,1,68.42,-3.73,85.0,1.0,5.67,1.0,4.0,1,1,1,27,10,5,12,9,5,10
6a04a03cd33b0d59049eb5fa,alternatives,2026-08-14T11:27:27.759420+00:00,True,21,['Woman'],Marketing,Native English speaker,Higher tertiary education degree (Master's level),Never,C,1,35.0,D,1,75.0,B,0,62.0,C,0,62.0,C,1,68.0,D,1,53.0,D,0,30.0,B,0,64.0,D,0,65.0,B,0,54.0,D,0,72.0,B,0,39.0,4,56.58,1.75,52.5,-0.25,9.0,4.0,1.75,1,1,1,14,7,8,7,6,5,4
69fedf9f76ae1cce5911453a,alternatives,2026-08-14T12:01:31.155666+00:00,True,32,['Man'],agriculture,Native English speaker,Higher tertiary education degree (Master's level),A few times a month,B,0,60.0,C,0,48.0,C,0,58.0,D,1,48.0,B,0,65.0,D,1,75.0,D,0,44.0,C,1,57.0,D,0,100.0,C,1,100.0,D,0,17.0,D,1,100.0,5,64.33,20.0,72.5,2.12,12.0,3.0,4.12,1,1,1,25,7,2,7,10,9,9
6a08d7ebd6444314bbbf1112,alternatives,2026-08-14T12:02:52.193562+00:00,True,37,['Man'],IT Manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,83.0,C,0,86.0,C,0,86.0,B,0,75.0,D,0,93.0,D,1,94.0,B,0,90.0,B,0,92.0,D,0,87.0,C,1,98.0,B,0,88.0,C,0,93.0,2,88.75,8.7,100.0,2.0,3.83,5.0,3.62,1,1,1,20,12,3,12,8,2,8
6601a00c30582f248a36232c,alternatives,2026-08-14T12:03:36.345141+00:00,True,43,['Woman'],Senior Systems Analyst,Fully fluent,Lower tertiary education degree (Bachelor's level),Several times a day,B,0,98.0,A,0,98.0,B,0,99.0,B,0,5.0,D,0,98.0,D,1,99.0,A,1,98.0,D,0,80.0,A,0,41.0,B,0,99.0,B,0,93.0,D,1,91.0,3,83.25,17.0,72.5,1.88,10.83,3.67,4.38,1,1,1,15,12,6,12,9,2,10
5cacc30ef7db0100175998e7,alternatives,2026-08-14T12:05:30.324989+00:00,True,26,['Man'],Bar Tender,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,C,1,47.0,D,1,15.0,B,0,81.0,B,0,73.0,D,0,31.0,A,0,73.0,B,0,91.0,A,0,67.0,D,0,60.0,C,1,68.0,B,0,28.0,B,0,68.0,3,58.5,-20.22,12.5,0.25,3.83,4.0,2.62,0,1,1,19,11,0,0,4,4,3
69ed80361ac67e060ad6e85e,alternatives,2026-08-14T12:13:45.508674+00:00,True,41,['Man'],Banking,Fully fluent,Lower tertiary education degree (Bachelor's level),About once a day,B,0,76.0,D,1,81.0,C,0,73.0,D,1,83.0,B,0,78.0,D,1,79.0,B,0,76.0,C,1,69.0,D,0,74.0,B,0,80.0,B,0,78.0,D,1,84.0,5,77.58,2.77,72.5,1.25,11.5,3.5,3.62,1,1,1,32,9,6,8,10,6,8
66ef7a5b05edfd0f5bed68a6,alternatives,2026-08-14T12:17:20.514248+00:00,True,32,['Woman'],support worker,Native English speaker,Vocational college degree,About once a week,B,0,30.0,C,0,70.0,B,0,68.0,B,0,26.0,B,0,81.0,D,1,76.0,B,0,70.0,C,1,43.0,D,0,98.0,B,0,76.0,B,0,66.0,B,0,93.0,2,66.42,-8.3,62.5,-0.12,12.5,2.0,2.5,1,1,1,17,10,5,8,6,3,8
